username,strMainList,strTagsList,strAtUsersList,retweets
ActiveSpaces,"['Dans', '08', 'jours', 'exactement', 'vous', 'aurez', 'accès', 'au', 'lien', 'dinscription', 'Saisissez', 'cette', 'opportunité', 'de', 'vous', 'faire', 'accompa']",[],[],2
ActiveSpaces,"['La', 'communauté', 'Entrepreneurs', 'For', 'Tomorrow', 'a', 'désormais', 'sa', 'propore', 'émission', 'radio', 'sur', 'la', 'chaîne', '1009', 'animé']",[],['BizgoF'],8
ActiveSpaces,"['Dès', 'le', '28', 'décembre', '2017', 'vous', 'aurez', 'le', 'lien', 'dinscription', 'qui', 'vous', 'permettra', 'de', 'soumettre', 'vos', 'candidatures', 'pour', 'le']",[],[],4
ActiveSpaces,"['RT', 'Gathering', 'soil', 'water', 'amp', 'climate', 'data', 'for', 'optimal', 'planning', 'of', 'irrigation', 'systems', 'during', 'MASHAVAFD_France', 'workshop', 'on', 'Pla']",[],['MASHAVisrael'],13
ActiveSpaces,"['RT', 'Africa', 'Summit', 'Kigali', 'Feb', '14th', 'and', '15th', '', 'Investing', 'in', 'African', 'From', 'Seed', 'to', 'Scale', '', 'early', 'bird', 'ends', 'Jan', '19th', 'http']",['Tech'],['AppsAfrica'],18
ActiveSpaces,"['RT', 'Not', 'only', 'are', 'we', 'giving', 'our', 'Ladies', 'the', 'skills', 'to', 'build', 'their', 'businesses', 'But', 'also', 'whenever', 'we', 'hear', 'of']",['ThisYearATiSpace'],['UnlockingWAT'],3
ActiveSpaces,"['RT', 'Le', 'panel', 'du', 'dans', 'le', 'cadre', 'de', 'la', 'abordera', 'limpact', 'du', 'Numérique', 'sur', 'la', 'vie', 'des', 'béninois', 'e']","['TalkShowNumérique', 'SENUM2017']",['Benin_Numerique'],9
ActiveSpaces,"['RT', 'The', 'AfriShopping', 'Exploring', 'the', 'African', 'Ecommerce', 'Startup', 'Ecosystem', 'Report', '2017']",[],['DisruptAfrica'],4
ActiveSpaces,"['RT', 'The', 'AfriShopping', 'Exploring', 'the', 'African', 'Ecommerce', 'Startup', 'Ecosystem', 'Report', '2017']",[],['DisruptAfrica'],4
ActiveSpaces,"['RT', 'Our', 'CEO', 'being', 'greeted', 'by', 'Taiwan', '', 'top', 'philanthropic', 'foundations', 'for', 'her', 'work', 'on', 'increasing', 'female', 'participation', 'in']",['techn'],['i_amthecode'],7
ActiveSpaces,"['RT', '', '', 'interview', 'Comment', 'mettre', 'en', 'place', 'un', 'attrayant', 'pour', 'les', 'consommateurs', '']",['ecommerce'],"['Ecom_NationFR', 'getdotstore']",4
ActiveSpaces,"['RT', 'We', 'are', 'happy', 'to', 'announce', 'that', 'we', 'have', 'been', 'able', 'to', 'raise', '1m', 'in', 'funding', 'in', 'order', 'to', 'bring', 'Nigerian', 'farmers', 'online', 'and', 'to', 'ma']",[],['farmcrowdy'],29
ActiveSpaces,"['RT', 'Pour', 'commencer', '2018', 'à', 'la', 'page', 'voici', 'rien', 'que', 'pour', 'vous', 'un', 'récapitulatif', 'des', 'meilleures', 'de', '2017', '']",['innovations'],['bymaddyness'],17
ActiveSpaces,"['RT', 'Entrepreneurs', 'For', 'Tomorrow', 'Cc']",['TuesdayTip'],"['UlrichPola', 'ActivSpaces']",6
ActiveSpaces,"['Passez', 'de', 'lidée', 'à', 'une', 'startup', 'en', 'vous', 'inscrivant', 'pour', 'le', 'programme', 'dincubation', 'à', 'dès', 'le', '28', 'décembre']",[],['ActivSpaces'],18
ActiveSpaces,"['Design', 'Thinking', 'workshop', 'going', 'on', 'now', 'Buea', 'We', 'encourage', 'all', 'entrepreneurs', 'to', 'join', 'us', 'Africa', 'has', 'a', 'lo']",[],['ActivSpaces'],3
ActiveSpaces,"['RT', 'We', 'really', 'need', 'a', 'Design', 'Thinking', 'mindset', 'in', 'our', 'entrepreneurial', 'journey', 'I', 'encourage', 'all', 'entrepreneurs', 'to', 'take', 'part', 'of']",[],['MrDigitalAfrica'],2
ActiveSpaces,"['Dès', 'le', '28', 'décembre', '2017', 'les', 'inscriptions', 'seront', 'possibles', 'en', 'ligne', 'Alors', 'saisissez', 'cette', 'opportunité', 'dêtre', 'sélec']",[],[],0
ActiveSpaces,"['Design', 'thinkimg', 'workshop', 'today', 'Buea', 'with', 'Henry', 'All', 'entrepreneurs', 'are', 'invited', 'time', '2pm', 'to', '6pm']",[],"['ActivSpaces', 'koge']",1
ActiveSpaces,"['Travailler', 'en', 'équipe', 'cest', 'aussi', 'ça', 'la', 'force', 'dun', 'groupe', 'et', 'ça', 'se', 'passe', 'à', 'ce', 'lundi', 'matin']",['Startups'],['ActivSpaces'],1
ActiveSpaces,"['Soyez', 'performants', 'et', 'efficaces', 'de', 'jour', 'en', 'jour']","['MondayMotivation', 'EtreCompétent', 'Startups', 'Entrepreneurs']",[],3
ActiveSpaces,"['RT', 'Parcours', 'challenges', 'et', 'vision', 'd', 'Founder', 'amp', 'CEO', 'd', '', 'Cofounder', 'd', '', 'Aussi', '1ère', 'pe']",[],"['Miss237Faces', 'africatechie', 'AppsTech', 'ActivSpaces']",3
ActiveSpaces,"['RT', 'Zach', 'à', '7', 'ans', 'et', 'est', 'lun', 'des', '7', 'gagnants', 'dans', 'le', 'monde', 'entier', 'à', 'avoir', 'participé', 'à', 'la', 'compétition', 'organisé']",['supercodeur'],['jessica_pahane'],7
ActiveSpaces,"['RT', 'The', 'young', 'Genius', 'are', 'present', 'at', 'debating', 'on', '', 'should', 'YouTube', 'be', 'blocked', 'on', 'schools', 'Cc']",[],"['jessica_pahane', 'ActivSpaces', 'geniuscenters', 'AM']",5
ActiveSpaces,"['RT', 'les', 'enfants', 'présentent', 'cequils', 'ont', 'appris', 'au', 'cours', 'de', 'leurs', 'formations']",[],"['jessica_pahane', 'geniuscenters', 'ActivSpaces']",4
ActiveSpaces,"['Demain', 'à', 'se', 'tiendra', 'le', 'Demo', 'Kids', 'organisé', 'par', 'la', 'fondatrice', 'de', 'un', 'atelier', 'e']",[],"['ActivSpaces', 'AMD237', 'geniuscenters']",4
ActiveSpaces,"['Bientôt', 'les', 'inscriptions', 'pour', 'le', 'programme', 'dincubation', 'à', 'seront', 'ouvertes', 'Entrepreneurs', 'soyez', 'prêts']",[],['ActivSpaces'],6
ActiveSpaces,"['RT', 'My', 'Loren', 'latest', 'article', 'in', 'Huff', 'post', 'Learning', 'from', 'the', 'expert', 'staff', 'at']",['techhubs'],"['indigotrust', 'iSpaceGh', 'ic']",8
ActiveSpaces,"['RT', 'My', 'Loren', 'latest', 'article', 'in', 'Huff', 'post', 'Learning', 'from', 'the', 'expert', 'staff', 'at']",['techhubs'],"['indigotrust', 'iSpaceGh', 'ic']",8
ActiveSpaces,"['Récompense', '', 'Le', 'Congolais', 'Verone', 'Mankou', 'désigné', '', 'Jeune', 'entrepreneur', '2017', '']",[],[],0
ActiveSpaces,"['RT', 'But', 'is', 'also', 'doing', 'Acceleration', 'amp', 'Incubation']",[],"['Miss237Faces', 'ActivSpaces']",1
ActiveSpaces,"['RT', 'Yes', 'is', 'there', '']","['ILoveMyJob', 'Connecting', 'CommunityDevelopment']","['Miss237Faces', 'ActivSpaces']",1
ActiveSpaces,"['Cybercriminalité', '', '2018', 'sera', 'pire', 'que', '2017', 'étude', 'McAfee']",[],[],0
ActiveSpaces,"['RT', 'Extrait', 'du', 'message', 'de', 'la', 'Secrétaire', 'Générale', 'de', 'Madame', 'à', 'la', 'séance', 'de', 'travail', 'avec', 'les', 'memb']",[],"['gouvbenin', 'OIFfrancophonie', 'MichaelleJeanF']",10
ActiveSpaces,"['RT', 'Signature', 'dun', 'accordcadre', 'avec', 'le', 'Ministre', 'des', 'Affaires', 'étrangères', 'du', 'qui', 'devient', 'le', 'premier', 'É']",['Benin'],"['MichaelleJeanF', 'libresensemble']",44
ActiveSpaces,"['A', 'loccasion', 'de', 'sa', 'visite', 'officielle', 'au', 'Bénin', 'et', 'à', 'linvitation', 'du', 'président', 'de', 'lAssemblée', 'nationale', 'béninoise', 'l']",[],[],1
ActiveSpaces,"['RT', 'Devant', 'les', 'femmes', 'et', 'les', 'jeunes', 'entrepreneurs', 'rassemblés', 'à', 'la', 'chambre', 'de', 'commerce', 'et', 'dindustrie', 'du', '', 'les', 'freins']",['Bénin'],['MichaelleJeanF'],26
ActiveSpaces,"['Gabon', '', 'La', 'préinscription', 'pour', 'les', 'examens', 'scolaires', 'digitalisée']",[],[],1
ActiveSpaces,"['Cameroun', '', 'MTN', 'et', 'Ericsson', 'ont', 'collecté', '53', 'tonnes', 'de', 'déchets', 'électroniques', 'en', '2017']",[],[],0
ActiveSpaces,"['RT', 'Three', 'Cameroonian', 'women', 'among', '2017', 'most', 'influential', 'African', 'leaders', 'Read', 'more']",['Cameroon'],"['JDC_En', 'SongweVera', '']",60
ActiveSpaces,"['RT', '2017', 'Was', 'Tough', 'Do', 'You', 'Have', 'A', 'Different', 'Plan', 'For', '2018']",[],['IOSpaces'],9
ActiveSpaces,"['RT', 'Read', 'how', 'a', 'winner', 'uses', 'to', 'help', 'provide', 'key', 'sanitation', 'services', 'in', 'urban', 'areas']","['2017Digis', 'mobilemoney']","['USAID_Digital', 'CleanTeamGhana']",3
ActiveSpaces,"['RT', 'The', 'startups', 'mentors', 'and', 'investors', 'working', 'hard', 'at', 'the', 'standard', 'incubator']",['sswafrica2017'],['Seedstars'],14
ActiveSpaces,"['La', 'suite', 'du', 'Workshop', 'Place', 'au', 'Lean', 'Canvas', 'amp', 'au', 'Business', 'Model', 'Canvas', 'avec', 'les', 'étudiants', 'disemibcg', 'amp']",[],[],2
ActiveSpaces,"['Un', 'exercice', 'pour', 'les', 'étudiants', 'Imaginer', 'à', 'quoi', 'peut', 'servir', 'une', 'trombone', 'une', 'brique', 'etc']",['TransformYourIdea'],[],1
ActiveSpaces,"['ActivSpaces', 'à', 'pour', 'Ideation', '', 'un', 'qui', 'consiste', 'à', 'former', 'les', 'étudiants', 'sur', 'lentrepreneuriat']",['Workshop'],['isemibcg'],3
ActiveSpaces,"['RT', 'rejoint', 'laventure', '', 'un', 'espace', 'Free', 'Play', 'avec', 'des', 'consoles', '4', 'disponibles', 'du', '1']",[],"['GamingDay237', 'GamingDay237', 'doulhiphopfest', 'PlayStation']",9
ActiveSpaces,"['RT', 'The', 'latest', 'mHealth', 'Africa', 'Thanks', 'to']","['africa', 'business']","['mHealth_Africa', 'Amref_Worldwide', 'ActivSpaces', 'iLabAfrica']",1
ActiveSpaces,"['RT', 'The', 'latest', 'mHealth', 'Africa', 'Thanks', 'to']","['africa', 'business']","['mHealth_Africa', 'Amref_Worldwide', 'ActivSpaces', 'iLabAfrica']",1
ActiveSpaces,"['RT', 'ICYMI', 'check', 'out', 'the', 'great', 'African', 'tech', 'hubs', 'were', 'supporting']",[],['indigotrust'],1
ActiveSpaces,"['RT', 'Great', 'to', 'hear', 'about', 'Facebook', 'and', 'launching', 'NG_HUB', 'Congratulations']",[],"['indigotrust', 'Cc_HUB']",6
ActiveSpaces,"['RT', 'The', 'Embassy', 'of', 'and', 'MASHAV', 'made', 'a', 'large', 'medical', 'donation', 'to', 'support', 'the', 'efforts', 'of', 'of', 'improvi']",['UNHCRCameroon'],"['MASHAVisrael', 'IsraelinCM']",18
ActiveSpaces,"['RT', 'ISRAELCAMEROON', '2e', 'EDITION', 'Les', 'Startups', 'du', 'Cameroun', 'à', 'la', 'rencontre', 'des', 'experts', 'israéliens', 'JOUR', '4', 'Apothéose', '']",[],['Camtelonline'],3
ActiveSpaces,"['yesterday', 'was', 'well', 'spent', 'with', 'Buea', 'Public', 'Speaking', 'is', 'neccessary', 'for', 'entrepreneurs', 'G']",[],"['Seriss_cweald', 'ActivSpaces']",1
ActiveSpaces,"['Gabon', '', 'Avec', 'le', '', 'Smart', 'Kids', '', 'Gabon', 'Telecom', 'veut', 'améliorer', 'la', 'sécurité', 'des', 'enfants']",[],[],2
ActiveSpaces,"['Speaking', 'is', 'a', 'process', 'a', 'process', 'towards', 'an', 'objective', '', 'If', 'you', 'dont', 'understand', 'a', 'process', 'you', 'will', 'not', 'understand']",[],[],2
ActiveSpaces,"['Public', 'speaking', 'masterclass', 'Buea', 'with', '', 'Why', 'is', 'public', 'speaking', 'always', 'a', 'problem', 'to', 'many']",[],"['ActivSpaces', 'Seriss_cweald']",1
ActiveSpaces,"['ActivSpaces', 'produces', 'one', 'of', 'the', 'fastest', 'growing', 'companies', 'in', 'Silicon', 'Mountain', 'via']",[],['activspaces'],5
ActiveSpaces,"['RT', 'Book', 'launch', 'today', 'with', 'Buea', '5pm', 'His', 'story', 'of', 'a', 'Speaker', 'will', 'hit', 'the', 'market', 'today', 'Remember']",[],"['ActivSpaces', 'Seriss_cweald', 'ActivSpaces']",4
ActiveSpaces,"['RT', 'Top', 'SubSaharan', 'African', 'Countries', 'For', 'Investment', 'In', '2018', 'ht']","['Education', 'africabiz']","['TheAfricaMentor', 'ActivSpaces']",1
ActiveSpaces,"['La', 'startup', 'incubée', 'à', 'fait', 'partie', 'des', 'vainqueurs', 'de', 'lédition', '4', 'de', 'la', 'sa']",['ActivSpacesHebdo'],"['voozi_net', 'ActivSpaces']",1
ActiveSpaces,"['Entrepreneurs', 'For', 'Tomorrow', '', 'lune', 'des', 'communautés', 'dActivSpaces', 'est', 'de', 'retour', 'pour', 'une', 'nouve']",['ActivSpacesHebdo'],[],0
